,time,InstrumentID,vol_cum,val_cum,TotalAskVolume,TotalBidVolume,ap1,bp1,av1,bv1,ap2,bp2,av2,bv2,ap3,bp3,av3,bv3,ap4,bp4,av4,bv4,ap5,bp5,av5,bv5,ap6,bp6,av6,bv6,ap7,bp7,av7,bv7,ap8,bp8,av8,bv8,ap9,bp9,av9,bv9,ap10,bp10,av10,bv10,vol,val,date,index,instrument_id,mp,wp
398,09:49:54,905.0,156177.74,95598614.70599999,100.0,100.0,4305.0893,4305.0893,100.0,100.0,4305.0893,4305.0893,100.0,100.0,4305.0893,4305.0893,100.0,100.0,4305.0893,4305.0893,100.0,100.0,4305.0893,4305.0893,100.0,100.0,4305.0893,4305.0893,100.0,100.0,4305.0893,4305.0893,100.0,100.0,4305.0893,4305.0893,100.0,100.0,4305.0893,4305.0893,100.0,100.0,4305.0893,4305.0893,100.0,100.0,429.5,257774.48199998855,20190114,4305.0893,i000905,4305.0893,4305.0893
399,09:49:57,905.0,156177.74,95598614.70599999,100.0,100.0,4305.0893,4305.0893,100.0,100.0,4305.0893,4305.0893,100.0,100.0,4305.0893,4305.0893,100.0,100.0,4305.0893,4305.0893,100.0,100.0,4305.0893,4305.0893,100.0,100.0,4305.0893,4305.0893,100.0,100.0,4305.0893,4305.0893,100.0,100.0,4305.0893,4305.0893,100.0,100.0,4305.0893,4305.0893,100.0,100.0,4305.0893,4305.0893,100.0,100.0,0.0,0.0,20190114,4305.0893,i000905,4305.0893,4305.0893
400,09:50:00,905.0,156529.61,95832449.225,100.0,100.0,4305.147699999999,4305.147699999999,100.0,100.0,4305.147699999999,4305.147699999999,100.0,100.0,4305.147699999999,4305.147699999999,100.0,100.0,4305.147699999999,4305.147699999999,100.0,100.0,4305.147699999999,4305.147699999999,100.0,100.0,4305.147699999999,4305.147699999999,100.0,100.0,4305.147699999999,4305.147699999999,100.0,100.0,4305.147699999999,4305.147699999999,100.0,100.0,4305.147699999999,4305.147699999999,100.0,100.0,4305.147699999999,4305.147699999999,100.0,100.0,351.87,233834.51900001525,20190114,4305.147699999999,i000905,4305.147699999999,4305.147699999999
401,09:50:03,905.0,157087.08,96219086.41299999,100.0,100.0,4304.6548,4304.6548,100.0,100.0,4304.6548,4304.6548,100.0,100.0,4304.6548,4304.6548,100.0,100.0,4304.6548,4304.6548,100.0,100.0,4304.6548,4304.6548,100.0,100.0,4304.6548,4304.6548,100.0,100.0,4304.6548,4304.6548,100.0,100.0,4304.6548,4304.6548,100.0,100.0,4304.6548,4304.6548,100.0,100.0,4304.6548,4304.6548,100.0,100.0,557.47,386637.1879999924,20190114,4304.6548,i000905,4304.6548,4304.6548
402,09:50:06,905.0,157087.08,96219086.41299999,100.0,100.0,4304.6548,4304.6548,100.0,100.0,4304.6548,4304.6548,100.0,100.0,4304.6548,4304.6548,100.0,100.0,4304.6548,4304.6548,100.0,100.0,4304.6548,4304.6548,100.0,100.0,4304.6548,4304.6548,100.0,100.0,4304.6548,4304.6548,100.0,100.0,4304.6548,4304.6548,100.0,100.0,4304.6548,4304.6548,100.0,100.0,4304.6548,4304.6548,100.0,100.0,0.0,0.0,20190114,4304.6548,i000905,4304.6548,4304.6548
403,09:50:09,905.0,157478.91,96480776.44,100.0,100.0,4304.560299999999,4304.560299999999,100.0,100.0,4304.560299999999,4304.560299999999,100.0,100.0,4304.560299999999,4304.560299999999,100.0,100.0,4304.560299999999,4304.560299999999,100.0,100.0,4304.560299999999,4304.560299999999,100.0,100.0,4304.560299999999,4304.560299999999,100.0,100.0,4304.560299999999,4304.560299999999,100.0,100.0,4304.560299999999,4304.560299999999,100.0,100.0,4304.560299999999,4304.560299999999,100.0,100.0,4304.560299999999,4304.560299999999,100.0,100.0,391.83,261690.02700000763,20190114,4304.560299999999,i000905,4304.560299999999,4304.560299999999
404,09:50:12,905.0,157478.91,96480776.44,100.0,100.0,4304.560299999999,4304.560299999999,100.0,100.0,4304.560299999999,4304.560299999999,100.0,100.0,4304.560299999999,4304.560299999999,100.0,100.0,4304.560299999999,4304.560299999999,100.0,100.0,4304.560299999999,4304.560299999999,100.0,100.0,4304.560299999999,4304.560299999999,100.0,100.0,4304.560299999999,4304.560299999999,100.0,100.0,4304.560299999999,4304.560299999999,100.0,100.0,4304.560299999999,4304.560299999999,100.0,100.0,4304.560299999999,4304.560299999999,100.0,100.0,0.0,0.0,20190114,4304.560299999999,i000905,4304.560299999999,4304.560299999999
405,09:50:15,905.0,158087.42,96922973.86900002,100.0,100.0,4303.589599999998,4303.589599999998,100.0,100.0,4303.589599999998,4303.589599999998,100.0,100.0,4303.589599999998,4303.589599999998,100.0,100.0,4303.589599999998,4303.589599999998,100.0,100.0,4303.589599999998,4303.589599999998,100.0,100.0,4303.589599999998,4303.589599999998,100.0,100.0,4303.589599999998,4303.589599999998,100.0,100.0,4303.589599999998,4303.589599999998,100.0,100.0,4303.589599999998,4303.589599999998,100.0,100.0,4303.589599999998,4303.589599999998,100.0,100.0,608.51,442197.42900001525,20190114,4303.589599999998,i000905,4303.589599999998,4303.589599999998
406,09:50:18,905.0,158758.15,97291811.93200004,100.0,100.0,4303.552499999999,4303.552499999999,100.0,100.0,4303.552499999999,4303.552499999999,100.0,100.0,4303.552499999999,4303.552499999999,100.0,100.0,4303.552499999999,4303.552499999999,100.0,100.0,4303.552499999999,4303.552499999999,100.0,100.0,4303.552499999999,4303.552499999999,100.0,100.0,4303.552499999999,4303.552499999999,100.0,100.0,4303.552499999999,4303.552499999999,100.0,100.0,4303.552499999999,4303.552499999999,100.0,100.0,4303.552499999999,4303.552499999999,100.0,100.0,670.73,368838.0630000305,20190114,4303.552499999999,i000905,4303.552499999999,4303.552499999999
407,09:50:21,905.0,158758.15,97291811.93200004,100.0,100.0,4303.552499999999,4303.552499999999,100.0,100.0,4303.552499999999,4303.552499999999,100.0,100.0,4303.552499999999,4303.552499999999,100.0,100.0,4303.552499999999,4303.552499999999,100.0,100.0,4303.552499999999,4303.552499999999,100.0,100.0,4303.552499999999,4303.552499999999,100.0,100.0,4303.552499999999,4303.552499999999,100.0,100.0,4303.552499999999,4303.552499999999,100.0,100.0,4303.552499999999,4303.552499999999,100.0,100.0,4303.552499999999,4303.552499999999,100.0,100.0,0.0,0.0,20190114,4303.552499999999,i000905,4303.552499999999,4303.552499999999
408,09:50:24,905.0,159385.53,97660409.25599995,100.0,100.0,4303.6632,4303.6632,100.0,100.0,4303.6632,4303.6632,100.0,100.0,4303.6632,4303.6632,100.0,100.0,4303.6632,4303.6632,100.0,100.0,4303.6632,4303.6632,100.0,100.0,4303.6632,4303.6632,100.0,100.0,4303.6632,4303.6632,100.0,100.0,4303.6632,4303.6632,100.0,100.0,4303.6632,4303.6632,100.0,100.0,4303.6632,4303.6632,100.0,100.0,627.38,368597.32399990084,20190114,4303.6632,i000905,4303.6632,4303.6632
409,09:50:27,905.0,159385.53,97660409.25599995,100.0,100.0,4303.6632,4303.6632,100.0,100.0,4303.6632,4303.6632,100.0,100.0,4303.6632,4303.6632,100.0,100.0,4303.6632,4303.6632,100.0,100.0,4303.6632,4303.6632,100.0,100.0,4303.6632,4303.6632,100.0,100.0,4303.6632,4303.6632,100.0,100.0,4303.6632,4303.6632,100.0,100.0,4303.6632,4303.6632,100.0,100.0,4303.6632,4303.6632,100.0,100.0,0.0,0.0,20190114,4303.6632,i000905,4303.6632,4303.6632
